Date,GC=F_Volume,^VIX_Volatility,GC=F_Volatility,SHY_Volatility,SPY_Premium_pct,y_target_log
2022-11-07,3.7612001156935615,0.8458682348334262,1.791759469228055,0.0392215934676473,0.0349739863741776,5.940039697243788
2022-11-08,3.1780538303479458,1.0715836424082534,2.2925372232044228,0.0676583632627635,0.0157299608385197,5.945420608606575
2022-11-09,6.210600077024653,0.8458682348334262,2.7212922154704264,0.1310277270101533,0.006894571615377,5.924603343651877
2022-11-10,5.786897381366708,1.55814461804655,3.7635252629134,0.1222152021177277,-0.0295718240407065,5.978100652835479
2022-11-11,5.552959584921617,0.9321636905495464,2.240712286513277,0.1043605651903641,0.0171000514075033,5.987732616523648
2022-11-14,5.883322388488279,0.9042178726457144,2.5649493574615367,0.0582666049078799,0.0350968749585572,5.979189503874573
2022-11-15,4.060443010546419,1.3962444464727095,1.5892401875659032,0.076962736555698,0.012357479500855,5.987682379305946
2022-11-16,5.717027701406222,0.548121143906374,1.9315249498668816,0.0582738024405657,0.0498466073676934,5.980024387834136
2022-11-17,2.9444389791664403,0.8628903092538963,2.079441541679836,0.0676583632627635,0.030818199381536,5.976959836134339
2022-11-18,6.028278520230698,0.7608064351069738,2.8154131051728224,0.1043605651903641,0.0089546132091736,5.981489962878428
2022-11-21,6.300785794663244,1.0367374530962623,2.2823873681258484,0.0953087926407206,0.0207674683343401,5.977847241868001
2022-11-22,2.772588722239781,0.8878905980218481,1.481582346075639,0.0582738024405657,0.0132282805982794,5.991214500590168
2022-11-23,3.688879454113936,0.9001617531235759,2.7343690947470605,0.1043605651903641,0.0499579560550562,5.997496352707163
2022-11-25,5.37989735354046,0.5007762126871563,2.27213343622181,0.0487858045059107,0.0539003811542237,5.997272614016031
2022-11-28,11.796358523132596,0.6151858452900644,0.7884906517135162,0.0582666049078799,-0.0072537330020299,5.981186921946701
2022-11-29,9.873904249994451,0.553884981685144,3.0587036341091154,0.0487930706012202,-0.0286330992435342,5.979467901721101
2022-11-30,8.113726085970747,1.1999646910079769,3.230806325697027,0.2700252735424304,0.0105421425872259,6.010482534978137
2022-12-01,6.960347729101308,0.815364914559338,3.58351893845611,0.1484231621041305,0.0073263461438734,6.009746422771886
2022-12-02,7.453561871643373,1.101939521130464,3.1738794804458346,0.1655146971010833,0.0036563873978107,6.008592039768375
2022-12-05,7.446585099157725,0.9202828443316708,3.799972409267137,0.1397632692255012,-0.0153042623745617,5.990439012271575
2022-12-06,4.663439094112067,1.1693817386565946,2.525728644308256,0.076962736555698,-0.0265357368870327,5.975919310010597
2022-12-07,6.0473721790462776,0.6043159251626482,3.091042453358316,0.0953087926407206,-0.0134843798106114,5.974216663012981
2022-12-08,6.570882962339584,0.7975077457503095,2.2925372232044228,0.0676583632627635,0.0069145289144887,5.982020063634249
2022-12-09,4.836281906951478,0.7080351917219265,2.653247122494441,0.076962736555698,-0.0119710090198463,5.974521823273767
2022-12-12,4.454347296253507,0.6259378596817148,2.844913642077056,0.1222219537879222,0.0080856784300309,5.988836126352187
2022-12-13,5.327876168789581,1.6826885727081036,3.696352680567908,0.1222219537879222,0.0354899200968991,5.996377462005428
2022-12-14,6.980075940561763,1.2237753194251308,2.766320644700636,0.1739553587232242,-0.0204352584923556,5.989963405700003
2022-12-15,6.045005314036012,1.2296405733826847,3.303215178148686,0.086181335945581,0.0075566838277164,5.965197583389183
2022-12-16,5.332718793265369,1.0079578368664586,2.6741486494265287,0.1739553587232242,-0.0675729564890722,5.948739672983263
2022-12-19,4.382026634673881,0.8109302162163288,2.4595951018001423,0.0676583632627635,-0.0201803876589725,5.940223854004517
2022-12-20,3.951243718581428,1.1118571891610742,3.580737975551453,0.076962736555698,0.0096229220541689,5.941591319066982
2022-12-21,3.58351893845611,0.8544154904835977,2.079441541679836,0.0487930706012202,0.0040335070357506,5.956433075381093
2022-12-22,6.021023349349527,1.6658180583803437,3.529296668334303,0.0861743365020368,0.0232903097630362,5.942064200019156
2022-12-23,3.912023005428146,1.0508211713361792,2.27213343622181,0.0392142574909171,0.0099196754342554,5.947799984185608
2022-12-27,4.248495242049359,0.7929921012638093,3.1738794804458346,0.0953087926407206,0.0127876594865411,5.943848677163394
2022-12-28,6.075346031088684,0.8329096205041888,1.7578663361591784,0.0392215934676473,-0.0292741593195231,5.931342933489187
2022-12-29,5.627621113690637,0.667828785698981,2.6878441721380173,0.0487858045059107,0.0115578872068971,5.94918316121849
2022-12-30,4.564348191467836,0.5933265502182339,1.8718021769015916,0.1043536918421155,-0.0033948392396885,5.946545610831114
2023-01-03,3.4011973816621555,0.7080361313026574,1.5040773967762742,0.086181335945581,-0.0273714970258358,5.942326841779192
2023-01-04,3.258096538021482,0.8458682348334262,2.6741486494265287,0.0953087926407206,-0.0136648077514052,5.950017382641028
2023-01-05,3.218875824868201,0.6678297638265807,3.063386358641225,0.0953087926407206,-0.0072834899319244,5.938538354169083
2023-01-06,3.295836866004329,1.0647106054511344,3.523412133666916,0.2390142572122082,0.0014581155869823,5.961211469336532
2023-01-09,4.143134726391533,0.5364928351183177,2.6390573296152584,0.086181335945581,0.003627562127665,5.960644412000762
2023-01-10,4.624972813284271,1.0577900027473266,2.0149030205422647,0.0676583632627635,0.007860870155484,5.967632779475675
2023-01-11,7.120444372392488,0.4885794999514228,1.7404790242645292,0.086181335945581,-0.0122277187621043,5.980201327052349
2023-01-12,4.0943445622221,1.378765921740518,3.054004636492164,0.1043605651903641,-0.0009019832484463,5.983835498417589
2023-01-13,6.240275845170769,0.8754685784081679,3.161245677536856,0.1310277270101533,-0.0151013577904028,5.98770749823027
2023-01-17,6.561030665896573,0.6981348359425381,2.766320644700636,0.0676583632627635,0.0049888136739747,5.985873921174936
2023-01-18,6.93537044601511,1.0543123221873052,2.19722457733622,0.0582666049078799,-0.0195659601310084,5.969959947375709
2023-01-19,5.918893854273146,0.9321636905495464,2.3702505865086856,0.0582666049078799,0.0030177032474992,5.962653502945395
2023-01-20,7.205635176410364,0.8285522173596682,2.0918610475920607,0.0582666049078799,-0.0245029659782238,5.981111147362562
2023-01-23,5.389071729816501,0.5766137500598226,2.572610366536476,0.0676583632627635,-0.0114302178580705,5.993038320284109
2023-01-24,5.308267697401205,0.9400070498751928,1.791759469228055,0.086181335945581,-0.0499315244571074,5.99196445265196
