Date,High,Low,Volume,Close,Volatility
2022-11-07,159.26687252521515,155.4167434136073,24225107.966666665,158.28867205778758,3.8501291116078695
2022-11-08,161.18350127538045,157.01245606740315,27744161.266666666,159.38965107599896,4.171045207977295
2022-11-09,159.72994261582693,155.75529028574627,26006890.716666665,156.14301273822784,3.974652330080668
2022-11-10,165.47525204817455,159.96400271256763,36907760.06666667,164.65324170589446,5.511249335606893
2022-11-11,168.21393610636395,162.34035278956097,32213356.883333333,165.93445472717286,5.8735833168029785
2022-11-14,167.72178462346395,163.30547974904377,27104064.45,164.8515086332957,4.416304874420166
2022-11-15,169.46097979545593,164.6707126935323,29680526.8,166.71514002482095,4.790267101923624
2022-11-16,167.58659240404765,163.97672182718912,26442653.8,165.36608595848082,3.6098705768585204
2022-11-17,165.60754578908285,161.9213082710902,26798708.516666666,164.49077790578207,3.6862375179926556
2022-11-18,167.1881983280182,163.34461681842805,22635420.35,165.16828599770864,3.843581509590149
2022-11-21,166.19616399606068,162.81489319006602,21617343.183333334,164.2050049384435,3.3812708059946694
2022-11-22,167.2511607170105,163.87709561189016,20933539.483333334,166.76396305561065,3.374065105120341
2022-11-23,168.9758650779724,166.00484687487284,19456800.633333333,167.95190218289693,2.9710182030995687
2022-11-25,169.07050232092539,167.08425894578298,9041696.783333333,168.1067005077998,1.9862433751424153
2022-11-28,168.64750163555146,165.03981330394745,18887634.3,165.81450484593708,3.607688331604004
2022-11-29,166.5820537408193,163.77221031188964,17524594.366666667,165.1710099697113,2.809843428929647
2022-11-30,170.99709661801657,163.61699627240498,33093870.983333334,170.64618940353392,7.380100345611572
2022-12-01,172.18769696553548,167.94506310621898,23705531.966666665,170.25809536774952,4.242633859316508
2022-12-02,170.4937057654063,167.05041937828065,20212830.983333334,169.66306719779968,3.443286387125651
2022-12-05,169.50129379431408,165.45681291421255,21396904.266666666,166.54481076399486,4.0444808801015215
2022-12-06,167.13894137541453,162.8296645005544,22286505.116666667,164.27837096850078,4.309276874860128
2022-12-07,165.86314307053883,162.80700027942657,21049940.25,164.283628932635,3.056142791112264
2022-12-08,166.72818041642506,163.33635394573213,23221347.183333334,165.6717208703359,3.3918264706929526
2022-12-09,167.28749595483143,163.81155927181243,22428728.616666667,164.62973964214325,3.475936683019002
2022-12-12,167.4780504465103,163.88281869888306,22915212.566666666,166.87148675918579,3.5952317476272584
2022-12-13,172.78308068116505,166.73091802597045,33276470.3,168.2176500161489,6.052162655194601
2022-12-14,170.41228646437327,165.8133426427841,25647213.316666666,167.3769863208135,4.598943821589152
2022-12-15,165.79603040218353,161.1703571796417,26301403.233333334,162.45235452651977,4.625673222541809
2022-12-16,162.7878061612447,159.17720829645793,38285662.333333336,160.80107657909394,3.610597864786784
2022-12-19,161.67431233723957,158.35603811740876,22509477.083333332,159.50430920124055,3.318274219830831
2022-12-20,160.9297019481659,157.84912618001303,22483615.783333335,159.70077696641286,3.080575768152873
2022-12-21,162.81842733224232,159.54913835525514,20286159.016666666,161.96703775723776,3.269288976987203
2022-12-22,161.2689905166626,157.1791806459427,27594364.566666666,159.73466252485912,4.089809870719909
2022-12-23,161.03886176745098,158.20451894601186,17970793.55,160.56601384480794,2.8343428214391073
2022-12-27,161.57864207426707,158.74910100301108,21346409.866666667,159.98064014116923,2.829541071256002
2022-12-28,161.31600637435912,157.90582070350646,19697258.45,158.40667224725087,3.410185670852661
2022-12-29,162.1559279044469,159.03548967838287,20031583.883333333,161.22593246301014,3.120438226064046
2022-12-30,161.30025335947673,158.71496611436208,18420079.033333335,160.86121459007262,2.5852872451146443
2023-01-03,162.86598106225333,158.3939517100652,24412431.35,160.30522746245066,4.472029352188111
