Date,부채비율(%),유동비율(%),"이자보상
배수(배)",ROE(%),PSR(배),PER(배),PBR(배),PCR(배),SPS(달러),DPS(달러),EPS(달러),BPS(달러),CPS(달러),ROA(%),ROIC(%)
2022-11-07,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-08,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-09,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-10,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-11,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-12,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-13,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-14,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-15,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-16,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-17,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-18,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-19,403.2589285714286,159.37058823529412,25.434782608695652,26.109090909090906,4.288813559322033,29.475254237288123,11.644285714285713,29.772372881355924,55.19525423728814,2.1779661016949152,6.406779661016949,38.12559322033898,12.635254237288136,8.8,17.843103448275862
2022-11-20,403.2,159.3921568627451,25.47826086956522,26.09272727272727,4.288135593220339,29.45966101694914,11.633392857142857,29.814745762711855,55.347118644067805,2.1798305084745766,6.408305084745764,38.15694915254237,12.610338983050847,8.8,17.836206896551722
2022-11-21,403.2,159.3921568627451,25.47826086956522,26.09272727272727,4.288135593220339,29.45966101694914,11.633392857142857,29.814745762711855,55.347118644067805,2.1798305084745766,6.408305084745764,38.15694915254237,12.610338983050847,8.8,17.836206896551722
2022-11-22,403.2,159.3921568627451,25.47826086956522,26.09272727272727,4.288135593220339,29.45966101694914,11.633392857142857,29.814745762711855,55.347118644067805,2.1798305084745766,6.408305084745764,38.15694915254237,12.610338983050847,8.8,17.836206896551722
2022-11-23,403.2,159.3921568627451,25.47826086956522,26.09272727272727,4.288135593220339,29.45966101694914,11.633392857142857,29.814745762711855,55.347118644067805,2.1798305084745766,6.408305084745764,38.15694915254237,12.610338983050847,8.8,17.836206896551722
2022-11-24,403.2,159.3921568627451,25.47826086956522,26.09272727272727,4.288135593220339,29.45966101694914,11.633392857142857,29.814745762711855,55.347118644067805,2.1798305084745766,6.408305084745764,38.15694915254237,12.610338983050847,8.8,17.836206896551722
2022-11-25,403.2,159.3921568627451,25.47826086956522,26.09272727272727,4.288135593220339,29.45966101694914,11.633392857142857,29.814745762711855,55.347118644067805,2.1798305084745766,6.408305084745764,38.15694915254237,12.610338983050847,8.8,17.836206896551722
2022-11-26,403.2,159.3921568627451,25.47826086956522,26.09272727272727,4.288135593220339,29.45966101694914,11.633392857142857,29.814745762711855,55.347118644067805,2.1798305084745766,6.408305084745764,38.15694915254237,12.610338983050847,8.8,17.836206896551722
2022-11-27,403.2,159.3921568627451,25.47826086956522,26.09272727272727,4.288135593220339,29.45966101694914,11.633392857142857,29.814745762711855,55.347118644067805,2.1798305084745766,6.408305084745764,38.15694915254237,12.610338983050847,8.8,17.836206896551722
2022-11-28,403.2,159.3921568627451,25.47826086956522,26.09272727272727,4.288135593220339,29.45966101694914,11.633392857142857,29.814745762711855,55.347118644067805,2.1798305084745766,6.408305084745764,38.15694915254237,12.610338983050847,8.8,17.836206896551722
