Date,금리
2022-11-03,4.0
2022-12-15,4.5
2023-02-02,4.75
2023-03-23,5.0
2023-05-04,5.25
2023-06-15,5.25
2023-07-27,5.5
2023-09-21,5.5
2023-11-02,5.5
2023-12-14,5.5
2024-02-01,5.5
2024-03-21,5.5
2024-05-02,5.5
2024-06-13,5.5
2024-08-01,5.5
2024-09-19,5.0
2024-11-08,4.75
2024-12-19,4.5
2025-01-30,4.5
2025-03-20,4.5
2025-05-08,4.5
2025-06-19,4.5
2025-07-31,4.5
2025-09-18,4.25
2025-10-30,4.0
