Date,GC=F_Volume,^VIX_Volatility,GC=F_Volatility,SHY_Volatility,PER(배),y_target_log
2022-11-07,3.7612001156935615,0.8458682348334262,1.791759469228055,0.0392215934676473,29.475254237288123,5.940039697243788
2022-11-08,3.1780538303479458,1.0715836424082534,2.2925372232044228,0.0676583632627635,29.475254237288123,5.945420608606575
2022-11-09,6.210600077024653,0.8458682348334262,2.7212922154704264,0.1310277270101533,29.475254237288123,5.924603343651877
2022-11-10,5.786897381366708,1.55814461804655,3.7635252629134,0.1222152021177277,29.475254237288123,5.978100652835479
2022-11-11,5.552959584921617,0.9321636905495464,2.240712286513277,0.1043605651903641,29.475254237288123,5.987732616523648
2022-11-14,5.883322388488279,0.9042178726457144,2.5649493574615367,0.0582666049078799,29.475254237288123,5.979189503874573
2022-11-15,4.060443010546419,1.3962444464727095,1.5892401875659032,0.076962736555698,29.475254237288123,5.987682379305946
2022-11-16,5.717027701406222,0.548121143906374,1.9315249498668816,0.0582738024405657,29.475254237288123,5.980024387834136
2022-11-17,2.9444389791664403,0.8628903092538963,2.079441541679836,0.0676583632627635,29.475254237288123,5.976959836134339
2022-11-18,6.028278520230698,0.7608064351069738,2.8154131051728224,0.1043605651903641,29.475254237288123,5.981489962878428
2022-11-21,6.300785794663244,1.0367374530962623,2.2823873681258484,0.0953087926407206,29.45966101694914,5.977847241868001
2022-11-22,2.772588722239781,0.8878905980218481,1.481582346075639,0.0582738024405657,29.45966101694914,5.991214500590168
2022-11-23,3.688879454113936,0.9001617531235759,2.7343690947470605,0.1043605651903641,29.45966101694914,5.997496352707163
2022-11-25,5.37989735354046,0.5007762126871563,2.27213343622181,0.0487858045059107,29.45966101694914,5.997272614016031
2022-11-28,11.796358523132596,0.6151858452900644,0.7884906517135162,0.0582666049078799,29.45966101694914,5.981186921946701
2022-11-29,9.873904249994451,0.553884981685144,3.0587036341091154,0.0487930706012202,29.45966101694914,5.979467901721101
2022-11-30,8.113726085970747,1.1999646910079769,3.230806325697027,0.2700252735424304,29.314237288135583,6.010482534978137
2022-12-01,6.960347729101308,0.815364914559338,3.58351893845611,0.1484231621041305,29.35610169491525,6.009746422771886
2022-12-02,7.453561871643373,1.101939521130464,3.1738794804458346,0.1655146971010833,29.35610169491525,6.008592039768375
2022-12-05,7.446585099157725,0.9202828443316708,3.799972409267137,0.1397632692255012,29.35610169491525,5.990439012271575
2022-12-06,4.663439094112067,1.1693817386565946,2.525728644308256,0.076962736555698,29.35610169491525,5.975919310010597
2022-12-07,6.0473721790462776,0.6043159251626482,3.091042453358316,0.0953087926407206,29.35610169491525,5.974216663012981
2022-12-08,6.570882962339584,0.7975077457503095,2.2925372232044228,0.0676583632627635,29.35610169491525,5.982020063634249
2022-12-09,4.836281906951478,0.7080351917219265,2.653247122494441,0.076962736555698,29.35610169491525,5.974521823273767
2022-12-12,4.454347296253507,0.6259378596817148,2.844913642077056,0.1222219537879222,29.35610169491525,5.988836126352187
2022-12-13,5.327876168789581,1.6826885727081036,3.696352680567908,0.1222219537879222,29.35610169491525,5.996377462005428
2022-12-14,6.980075940561763,1.2237753194251308,2.766320644700636,0.1739553587232242,29.35610169491525,5.989963405700003
2022-12-15,6.045005314036012,1.2296405733826847,3.303215178148686,0.086181335945581,29.35610169491525,5.965197583389183
2022-12-16,5.332718793265369,1.0079578368664586,2.6741486494265287,0.1739553587232242,29.35610169491525,5.948739672983263
2022-12-19,4.382026634673881,0.8109302162163288,2.4595951018001423,0.0676583632627635,29.35610169491525,5.940223854004517
2022-12-20,3.951243718581428,1.1118571891610742,3.580737975551453,0.076962736555698,29.35610169491525,5.941591319066982
2022-12-21,3.58351893845611,0.8544154904835977,2.079441541679836,0.0487930706012202,29.35610169491525,5.956433075381093
2022-12-22,6.021023349349527,1.6658180583803437,3.529296668334303,0.0861743365020368,29.35610169491525,5.942064200019156
2022-12-23,3.912023005428146,1.0508211713361792,2.27213343622181,0.0392142574909171,29.35610169491525,5.947799984185608
2022-12-27,4.248495242049359,0.7929921012638093,3.1738794804458346,0.0953087926407206,29.360508474576264,5.943848677163394
2022-12-28,6.075346031088684,0.8329096205041888,1.7578663361591784,0.0392215934676473,29.360508474576264,5.931342933489187
2022-12-29,5.627621113690637,0.667828785698981,2.6878441721380173,0.0487858045059107,29.360508474576264,5.94918316121849
2022-12-30,4.564348191467836,0.5933265502182339,1.8718021769015916,0.1043536918421155,29.360508474576264,5.946545610831114
2023-01-03,3.4011973816621555,0.7080361313026574,1.5040773967762742,0.086181335945581,63.00966101694916,5.942326841779192
2023-01-04,3.258096538021482,0.8458682348334262,2.6741486494265287,0.0953087926407206,63.00966101694916,5.950017382641028
2023-01-05,3.218875824868201,0.6678297638265807,3.063386358641225,0.0953087926407206,63.00966101694916,5.938538354169083
2023-01-06,3.295836866004329,1.0647106054511344,3.523412133666916,0.2390142572122082,63.00966101694916,5.961211469336532
2023-01-09,4.143134726391533,0.5364928351183177,2.6390573296152584,0.086181335945581,63.00966101694916,5.960644412000762
2023-01-10,4.624972813284271,1.0577900027473266,2.0149030205422647,0.0676583632627635,63.00966101694916,5.967632779475675
2023-01-11,7.120444372392488,0.4885794999514228,1.7404790242645292,0.086181335945581,63.00966101694916,5.980201327052349
2023-01-12,4.0943445622221,1.378765921740518,3.054004636492164,0.1043605651903641,63.00966101694916,5.983835498417589
2023-01-13,6.240275845170769,0.8754685784081679,3.161245677536856,0.1310277270101533,63.00966101694916,5.98770749823027
